SKU,DESCRIPCION,MODELO_FORECAST,HORIZONTE,FORECAST
1H0422884,RECEPTOR GOMA DIRECCION G V,auto_arima,2,21.26
1H0422884,RECEPTOR GOMA DIRECCION G V,auto_arima,3,21.26
FL30230002,MODULO GASOLINA SUMERGIBLE,auto_arima,1,16.69
FL30230002,MODULO GASOLINA SUMERGIBLE,auto_arima,2,18.28
FL30230002,MODULO GASOLINA SUMERGIBLE,auto_arima,3,20.01
PR18213-65J00,SENSOR OXIGENO GRAND VITARA 2.0,auto_arima,1,17.64
PR18213-65J00,SENSOR OXIGENO GRAND VITARA 2.0,auto_arima,2,20.63
PR18213-65J00,SENSOR OXIGENO GRAND VITARA 2.0,auto_arima,3,20.63
8TF358106-101,MODULO GASOLINA SUMERGIBLE,auto_arima,1,20.6
8TF358106-101,MODULO GASOLINA SUMERGIBLE,auto_arima,2,20.6
8TF358106-101,MODULO GASOLINA SUMERGIBLE,auto_arima,3,20.6
FIN23300-21030,FILTRO INTANK,auto_arima,1,20.58
FIN23300-21030,FILTRO INTANK,auto_arima,2,20.58
FIN23300-21030,FILTRO INTANK,auto_arima,3,20.58
TRUD1439,JGO. PASTILLA DE FRENO,auto_arima,1,0.0
TRUD1439,JGO. PASTILLA DE FRENO,auto_arima,2,0.45
TRUD1439,JGO. PASTILLA DE FRENO,auto_arima,3,10.64
FL31110-17000,MODULO GASOLINA SUMERGIBLE,auto_arima,1,19.73
FL31110-17000,MODULO GASOLINA SUMERGIBLE,auto_arima,2,19.73
FL31110-17000,MODULO GASOLINA SUMERGIBLE,auto_arima,3,19.73
ALHP-0629,JUNTA CARTER AMAROK,auto_arima,1,19.68
ALHP-0629,JUNTA CARTER AMAROK,auto_arima,2,19.68
ALHP-0629,JUNTA CARTER AMAROK,auto_arima,3,19.68
USNS-0411,TAPA DEL FILTRO ACEITE VW AMAROK,auto_arima,1,23.96
USNS-0411,TAPA DEL FILTRO ACEITE VW AMAROK,auto_arima,2,18.84
USNS-0411,TAPA DEL FILTRO ACEITE VW AMAROK,auto_arima,3,19.93
VW026115105A,BOMBA ACEITE,auto_arima,1,26.67
VW026115105A,BOMBA ACEITE,auto_arima,2,26.67
VW026115105A,BOMBA ACEITE,auto_arima,3,26.67
FL111RU17,BANDA DISTRIBUCION CH. AVEO 8 VAL (111 DIENTES),auto_arima,1,19.05
FL111RU17,BANDA DISTRIBUCION CH. AVEO 8 VAL (111 DIENTES),auto_arima,2,19.05
FL111RU17,BANDA DISTRIBUCION CH. AVEO 8 VAL (111 DIENTES),auto_arima,3,19.05
ALHP-2372,TORNILLO PINON CIGUENAL SOLO CONSUMIDOR,auto_arima,1,18.9
ALHP-2372,TORNILLO PINON CIGUENAL SOLO CONSUMIDOR,auto_arima,2,18.9
ALHP-2372,TORNILLO PINON CIGUENAL SOLO CONSUMIDOR,auto_arima,3,18.9
FLFILARIS,FILTRO GASOLINA SUMERGIBLE,auto_arima,1,18.65
FLFILARIS,FILTRO GASOLINA SUMERGIBLE,auto_arima,2,18.65
FLFILARIS,FILTRO GASOLINA SUMERGIBLE,auto_arima,3,18.65
PR39210-23750,SENSOR OXIGENO,auto_arima,1,17.76
PR39210-23750,SENSOR OXIGENO,auto_arima,2,17.76
PR39210-23750,SENSOR OXIGENO,auto_arima,3,17.76
WT9046588,BASE TERMOSTATO,auto_arima,1,17.76
WT9046588,BASE TERMOSTATO,auto_arima,2,17.76
WT9046588,BASE TERMOSTATO,auto_arima,3,17.76
