REFERENCIA,DESCRIPCIÓN,TOTAL_SALES,CUM_SHARE,ABC_CLASS,MEAN_MONTHLY_SALES,STD_MONTHLY_SALES,CV,XYZ_CLASS,ABC_XYZ
FLE8542,MODULO GASOLINA SUMERGIBLE,599,0.3100442799185439,A,9.6613,10.8582,1.1239,Z,AZ
FL96563403,MODULO GASOLINA SUMERGIBLE,599,0.3112262617014223,A,9.6613,11.5171,1.1921,Z,AZ
ETBK5003,KIT DISTRIBUCION,596,0.3124023237090944,A,9.6129,22.1326,2.3024,Z,AZ
USNS-2115,"CONMUTADOR ENCENDIDO VENTO, GOLF II 1984---1991, GOLF III 1993---1998, GOLF IV 1998---2002, JETTA 1984---1998, PASSAT 19...",596,0.3135783857167664,A,9.6129,10.6337,1.1062,Z,AZ
PG0301.L9,CARTER,592,0.31474655469082985,A,9.5484,16.2468,1.7015,Z,AZ
CINTAEMBALAJE,CINTA EMBALAJE TRANSP 48MMX1004,589,0.31590880388968695,A,9.5,12.7769,1.3449,Z,AZ
ENLA-2500,GRUPO HORQUILLAS TRANSMISION AMAROK,589,0.31707105308854405,A,9.5,11.167,1.1755,Z,AZ
FG-6030A,FILTRO GASOLINA,588,0.31823132902899903,A,9.4839,12.93,1.3634,Z,AZ
013311269.1,ANILLO SINCRONIZADO 1 Y 2 GOL,587,0.31938963171105184,A,9.4677,10.8609,1.1471,Z,AZ
13780-58B00,FILTRO AIRE,587,0.32054793439310464,A,9.4677,15.2281,1.6084,Z,AZ
WT191711190B,ANILLO COJINETE MECANICO CAMBIO MARCHAS,582,0.3216963707831468,A,9.3871,17.9788,1.9153,Z,AZ
06A121011H,BOMBA DE AGUA GOLFIV JETTA 20,582,0.3228448071731889,A,9.3871,14.8165,1.5784,Z,AZ
TS028-GIN-1811,"RIEL DE INYECCION CON INYECTORES VIRTUS, POLO, T-CROSS",581,0.32399127030482894,A,9.371,11.629,1.241,Z,AZ
WT1J0411314R,BUJE BARRA ESTALIBILIZADORA,580,0.32513576017806683,A,9.3548,21.1302,2.2587,Z,AZ
FL30SPA088,BOMBA GASOLINA SUMERGIBLE,580,0.32628025005130473,A,9.3548,13.2848,1.4201,Z,AZ
97133-G6000,FILTRO AIRE CABINA KIA PICANTO,578,0.32742079340773833,A,9.3226,13.8922,1.4902,Z,AZ
AVM456,JGO. DE RUEDA LIBRE,576,0.3285573902473677,A,9.2903,8.6852,0.9349,Y,AY
FL30464038,BOMBA GASOLINA SUMERGIBLE     PEUGEOT RENAULT CITROEN BMW E2,576,0.32969398708699704,A,9.2903,17.8121,1.9173,Z,AZ
PR96417177K,BANDA DISTRIBUCION GATES BLANCA,575,0.3308286106682242,A,9.2742,16.8247,1.8141,Z,AZ
FL70AMA007,BOMBA GASOLINA SUMERGIBLE,574,0.3319612609910493,A,9.2581,12.6133,1.3624,Z,AZ
WT7701041348,TUBO REFRIGERANTE RADIADOR,574,0.3330939113138744,A,9.2581,26.0477,2.8135,Z,AZ
FL17040-ET00A,MODULO GASOLINA SUMERGIBLE,568,0.33421472208628666,A,9.1613,21.4605,2.3425,Z,AZ
KR0K558-18-140B,JUEGO CABLES DE BUJIA,566,0.33533158634189464,A,9.129,14.5375,1.5924,Z,AZ
DKR1935,BOMBA GASOLINA SUMERGIBLE,566,0.33644845059750267,A,9.129,10.2446,1.1222,Z,AZ
XI-706,FILTRO COMBUSTIBLE,565,0.3375633415947085,A,9.1129,14.9214,1.6374,Z,AZ
OES-28130-43600-C,"FILTRO DE AIRE H-100 G-95, MTL-300",563,0.33867428607511013,A,9.0806,19.5484,2.1528,Z,AZ
FL1510065D00,MODULO GASOLINA SUMERGIBLE,563,0.3397852305555117,A,9.0806,11.9735,1.3186,Z,AZ
CR1921-Z.E-2635,ELEVA VENTANA MANUAL DELA LH,562,0.3408942017775112,A,9.0645,10.1041,1.1147,Z,AZ
TRUD2260,JGO. PASTILLA DE FRENO,561,0.3420011997411085,A,9.0484,12.8971,1.4254,Z,AZ
OES-9EN0094,ENI I-SINT PROFESSIONAL 10W30 4EC 1QT,561,0.34310819770470585,A,9.0484,7.928,0.8762,Y,AY
FD-WK939,FILTRO COMBUSTIBLE,560,0.34421322240990104,A,9.0323,7.0983,0.7859,Y,AY
FL127RUT025,BANDA DISTRIBUCION,559,0.34531627385669406,A,9.0161,9.9182,1.1001,Z,AZ
FL2310-87403,MODULO GASOLINA SUMERGIBLE,559,0.3464193253034871,A,9.0161,8.4519,0.9374,Y,AY
CR1921-Z.E-2637,ELEVA VENTANA MANUAL DELA LH,558,0.34752040349187807,A,9.0,8.6993,0.9666,Y,AY
