REFERENCIA,DESCRIPCIÓN,AVG_MONTHLY_SALES,AVG_STOCK,INVENTORY_TURNOVER_PROXY
TRUD1441,JGO. PASTILLA DE FRENO,4.8387,28.3871,0.170455
TRUD1447,JGO. PASTILLA DE FRENO,2.4839,26.0,0.095533
TRUD1468,JGO. PASTILLA DE FRENO,17.3387,335.7419,0.051643
TRUD1492,JGO. PASTILLA DE FRENO,6.0968,108.7419,0.056066
TRUD1495,JGO. PASTILLA DE FRENO,5.5968,29.9516,0.186861
TRUD1522,JGO. PASTILLA DE FRENO,1.6129,19.6774,0.081967
TRUD154,JGO. PASTILLA DE FRENO,1.2903,13.4839,0.095694
TRUD1555,JGO. PASTILLA DE FRENO,0.7742,10.2419,0.075591
TRUD1567,JGO. PASTILLA DE FRENO,2.3548,65.1452,0.036148
TRUD1571,JGO. PASTILLA DE FRENO,2.8065,25.371,0.110617
TRUD1572,JGO. PASTILLA DE FRENO,6.0806,52.3548,0.116143
TRUD1592,JGO. PASTILLA DE FRENO,3.2258,33.6452,0.095877
TRUD161,JGO. PASTILLA DE FRENO,1.5161,18.0323,0.084079
TRUD1624,JGO. PASTILLA DE FRENO,2.6613,33.129,0.080331
TRUD1627,JGO. PASTILLA DE FRENO,2.4194,20.3871,0.118671
TRUD1676,JGO. PASTILLA DE FRENO,0.7903,67.0484,0.011787
TRUD1679,JGO. PASTILLA DE FRENO,2.6129,28.8226,0.090655
TRUD1710,JGO. PASTILLA DE FRENO,2.7903,88.8548,0.031403
TRUD172,JGO. PASTILLA DE FRENO,0.4355,32.7258,0.013307
TRUD1737,JGO. PASTILLA DE FRENO,23.8871,164.2258,0.145453
TRUD1769,JGO. PASTILLA DE FRENO,2.1452,17.5968,0.121907
TRUD1830,JGO. PASTILLA DE FRENO,1.0645,19.9355,0.053398
TRUD1847,JGO. PASTILLA DE FRENO,0.7097,15.6129,0.045455
TRUD1852,JGO. PASTILLA DE FRENO,2.2903,67.1613,0.034102
TRUD1915,JGO. PASTILLA DE FRENO,8.5,116.9677,0.07267
TRUD1935,JGO. PASTILLA DE FRENO,1.9516,17.3065,0.112768
TRUD194,JGO. PASTILLA DE FRENO,2.9032,21.4194,0.135542
TRUD1965,JGO. PASTILLA DE FRENO,2.7581,85.7581,0.032161
TRUD200,JGO. PASTILLA DE FRENO,1.0484,12.129,0.086436
TRUD2006,JGO. PASTILLA DE FRENO,1.8871,12.1935,0.154762
TRUD2014,JGO. PASTILLA DE FRENO,1.8871,71.2097,0.026501
TRUD2038S,JGO. PASTILLA DE FRENO,0.9194,36.1774,0.025412
TRUD2234,JGO. PASTILLA DE FRENO,0.6452,27.8065,0.023202
TRUD2260,JGO. PASTILLA DE FRENO,9.0484,119.4355,0.07576
TRUD227,JGO. PASTILLA DE FRENO,0.5161,26.9032,0.019185
TRUD242,JGO. PASTILLA DE FRENO,1.0,6.5,0.153846
TRUD254S,JGO. PASTILLA DE FRENO,8.7742,78.9032,0.111202
TRUD280,JGO. PASTILLA DE FRENO,0.9677,7.4516,0.12987
TRUD285,JGO. PASTILLA DE FRENO,2.9032,41.0161,0.070783
TRUD296S,JGO. PASTILLA DE FRENO,5.0484,60.871,0.082936
TRUD297,JGO. PASTILLA DE FRENO,3.9355,84.1129,0.046788
TRUD299,JGO. PASTILLA DE FRENO,15.4516,73.9355,0.208988
TRUD303,JGO. PASTILLA DE FRENO,2.0645,16.6452,0.124031
TRUD319,JGO. PASTILLA DE FRENO,11.3871,89.9516,0.126591
TRUD320,JGO. PASTILLA DE FRENO,4.5323,32.3548,0.14008
TRUD333,JGO. PASTILLA DE FRENO,2.1129,31.4355,0.067214
TRUD340,JGO. PASTILLA DE FRENO,2.629,14.4839,0.181514
TRUD3427,JGO. PASTILLA DE FRENO,1.7097,30.871,0.055381
TRUD349,JGO. PASTILLA DE FRENO,4.7419,30.0968,0.157556
TRUD350,JGO. PASTILLA DE FRENO,0.4032,36.0161,0.011196
TRUD363,JGO. PASTILLA DE FRENO,2.8548,34.8226,0.081982
TRUD369,JGO. PASTILLA DE FRENO,0.6129,30.0645,0.020386
TRUD371,JGO. PASTILLA DE FRENO,2.5806,32.3871,0.079681
TRUD378,JGO. PASTILLA DE FRENO,0.2419,7.5484,0.032051
TRUD397,JGO. PASTILLA DE FRENO,3.9032,36.9839,0.105539
TRUD401,JGO. PASTILLA DE FRENO,6.4516,63.0,0.102407
TRUD402,JGO. PASTILLA DE FRENO,3.8065,235.2903,0.016178
TRUD41,JGO. PASTILLA DE FRENO,1.0645,15.1129,0.070438
TRUD418,JGO. PASTILLA DE FRENO,2.2258,24.8387,0.08961
TRUD428,JGO. PASTILLA DE FRENO,0.7581,14.8065,0.051198
TRUD430,JGO. PASTILLA DE FRENO,1.4194,18.5968,0.076323
TRUD436,JGO. PASTILLA DE FRENO,3.371,55.3387,0.060915
TRUD438,JGO. PASTILLA DE FRENO,0.5,9.7903,0.051071
TRUD440,JGO. PASTILLA DE FRENO,2.629,29.1452,0.090205
TRUD451,JGO. PASTILLA DE FRENO,1.8387,20.129,0.091346
TRUD465,JGO. PASTILLA DE FRENO,3.3387,93.7581,0.03561
TRUD477,JGO. PASTILLA DE FRENO,2.0,68.4839,0.029204
TRUD50,JGO. PASTILLA DE FRENO,1.3065,21.9839,0.059428
TRUD5001,JGO. PASTILLA DE FRENO,7.4516,58.1452,0.128155
TRUD510,JGO. PASTILLA DE FRENO,3.8065,60.8387,0.062566
TRUD52,JGO. PASTILLA DE FRENO,1.1935,76.7903,0.015543
TRUD530,JGO. PASTILLA DE FRENO,3.5806,32.9194,0.10877
TRUD535,JGO. PASTILLA DE FRENO,1.1129,12.1935,0.09127
TRUD541,JGO. PASTILLA DE FRENO,0.6613,7.4194,0.08913
TRUD552S,JGO. PASTILLA DE FRENO,0.6452,11.129,0.057971
TRUD556,JGO. PASTILLA DE FRENO,3.5645,30.5968,0.1165
TRUD562,JGO. PASTILLA DE FRENO,2.629,62.4194,0.042119
TRUD566,JGO. PASTILLA DE FRENO,1.4516,14.2258,0.102041
TRUD580,JGO. PASTILLA DE FRENO,1.7419,28.9677,0.060134
TRUD602,JGO. PASTILLA DE FRENO,6.129,43.2419,0.141738
TRUD606,JGO. PASTILLA DE FRENO,2.3871,24.1129,0.098997
