REFERENCIA,DESCRIPCIÓN,N_PERIODS,NON_ZERO_PERIODS,PCT_NON_ZERO,ADI,CV2,DEMAND_TYPE
ALHP-0629,JUNTA CARTER AMAROK,62,33,0.5323,1.8788,2.9683,Lumpy
ALHP-0630,SEPARADOR DE ACEITE PCV AMAROK,62,12,0.1935,5.1667,7.6672,Lumpy
ALHP-0637,FILTRO DE ACEITE TIGUAN,62,29,0.4677,2.1379,1.706,Lumpy
ALHP-0692,RULIMAN EMBRAGUE G A S,62,26,0.4194,2.3846,2.1785,Lumpy
ALHP-0712,SOPORTA LAT GUARDACHOQUES G V,62,4,0.0645,15.5,14.5,Lumpy
ALHP-0713,RELAY 30,62,23,0.371,2.6957,2.9451,Lumpy
ALHP-0714,ELECTROVENTILADOR GOLF VENT SA,62,14,0.2258,4.4286,5.0512,Lumpy
ALHP-0755,SEGURO CENTRAL RIEL ASIENTO 435881203A,62,13,0.2097,4.7692,5.1353,Lumpy
ALHP-0777,DEPOSITO AGUA RADIADOR C S,62,16,0.2581,3.875,6.3544,Lumpy
ALHP-0789,GUARDAPOLVO PUNTA EJE GOLF,62,36,0.5806,1.7222,1.3065,Lumpy
ALHP-0866,RADIADOR DE LA CALEFACCION G V III,62,35,0.5645,1.7714,2.0797,Lumpy
ALHP-0956,BRIDA DISTRIBUIDOR AKL AVU,62,24,0.3871,2.5833,2.1505,Lumpy
ALHP-0977,BASE MOTOR DER,62,16,0.2581,3.875,5.1023,Lumpy
ALHP-1001,RULIMAN SOPORTE AMORT G V97,62,31,0.5,2.0,1.2582,Lumpy
ALHP-1005,JGO SOPORTE RULIMAN AMORT GOLF IV GOL V,62,15,0.2419,4.1333,4.2962,Lumpy
ALHP-1015,TERMINAL B D IZQ GOLF IV,62,23,0.371,2.6957,4.259,Lumpy
ALHP-1016,TERMINAL B D DER GOLF IV,62,18,0.2903,3.4444,3.8714,Lumpy
ALHP-1022,BUJE PUENTE POST GOLF IV JETTA,62,22,0.3548,2.8182,2.7131,Lumpy
ALHP-1031,DISCO DE FRENO POLO GOLF IV BR BD5602,62,16,0.2581,3.875,3.4989,Lumpy
ALHP-1061,CILINDRO RECEPTOR EMBRAGUE 16 AKL AVU GOLF IV,62,19,0.3065,3.2632,3.6917,Lumpy
ALHP-1103,TERMOSWICHT GOLF IV,62,22,0.3548,2.8182,2.8011,Lumpy
ALHP-1111,RADIADOR DE LA CALEFACCION GOLF IV,62,19,0.3065,3.2632,3.8167,Lumpy
ALHP-1279,CAUCHO B E AMAROK,62,21,0.3387,2.9524,4.1613,Lumpy
ALHP-1296,DISCO DE FRENO DEL AMAROK 303MM BD 6382 50,62,38,0.6129,1.6316,0.8962,Lumpy
ALHP-1410,CUBO RUEDA DEL G V,62,19,0.3065,3.2632,2.9184,Lumpy
ALHP-1421,CILINDRO PRINCIPAL DE FRENOS G V,62,30,0.4839,2.0667,2.0456,Lumpy
ALHP-1427,JGO PASTILLAS GTI VENTO 2000 PD329,62,29,0.4677,2.1379,1.4306,Lumpy
ALHP-1746,PERNO RUEDA,62,34,0.5484,1.8235,0.9716,Lumpy
ALHP-1852,APOYO MOTOR,62,22,0.3548,2.8182,2.5876,Lumpy
ALHP-2030,CUBO RUEDA DEL FOX,62,34,0.5484,1.8235,1.1237,Lumpy
ALHP-2145,ROTULA M S IZQ POLO FOX,62,38,0.6129,1.6316,0.9799,Lumpy
ALHP-2146,ROTULA M S DER POLO FOX,62,37,0.5968,1.6757,0.9455,Lumpy
ALHP-2150,VARILLA ACCIONAMIENTO B E POLO,62,17,0.2742,3.6471,6.1682,Lumpy
ALHP-2170,CILINDRO RECEPTOR EMBRAGUE POLO BR,62,22,0.3548,2.8182,2.5747,Lumpy
ALHP-2209,ELECTROVENTILADOR POLO,62,36,0.5806,1.7222,0.9032,Lumpy
ALHP-2213,CONMUTADOR VIDRIOS IZQ DEL POLO 16 BR,62,27,0.4355,2.2963,2.4164,Lumpy
ALHP-2234,RADIADOR DE AGUA POLO 03 C A,62,23,0.371,2.6957,2.0923,Lumpy
ALHP-2251,MESA SUSPENSION LH POLO 2017,62,29,0.4677,2.1379,3.2401,Lumpy
ALHP-2261,MESA SUSPENSION POLO 14,62,31,0.5,2.0,2.3555,Lumpy
ALHP-2266,CABLE EMBRAGUE POLO HATCH 1 4,62,34,0.5484,1.8235,1.4521,Lumpy
ALHP-2372,TORNILLO PINON CIGUENAL SOLO CONSUMIDOR,62,30,0.4839,2.0667,1.3524,Lumpy
ALHP-2433,CUBO DE RUEDA,62,29,0.4677,2.1379,1.7241,Lumpy
ALHP-2434,TAPON CARTER,62,22,0.3548,2.8182,2.4721,Lumpy
ALHP-2437,POLEA REENVIO,62,19,0.3065,3.2632,4.4355,Lumpy
ALHP-2441,CERRADURA DE DIRECCION,62,6,0.0968,10.3333,16.98,Lumpy
ALHP-2444,FORRO PEDAL ACELERADOR,62,27,0.4355,2.2963,1.7318,Lumpy
ALHP-2446,SOPORTE BASE MOTOR,62,14,0.2258,4.4286,5.1828,Lumpy
ALHP-2448,JUNTA INYECTOR,62,23,0.371,2.6957,1.9275,Lumpy
ALHP-2452,TUBO CALEFACCION,62,24,0.3871,2.5833,3.0589,Lumpy
ALHP-2454,JUNTA INYECTOR,62,13,0.2097,4.7692,5.0929,Lumpy
ALHP-2458,SELECTOR DE MARCHAS,62,20,0.3226,3.1,4.1095,Lumpy
ALHP-2466,TUERCA DE EXPANSION,62,30,0.4839,2.0667,2.759,Lumpy
ALHP-2469,GUARDAPOLVO PALANCA CAMBIOS LARGA,62,34,0.5484,1.8235,1.1262,Lumpy
ALHP-2471,SENSOR DE OXIGENO,62,26,0.4194,2.3846,4.3435,Lumpy
ARRENDAMIENTOACTIVOS,ARRENDAMIENTO ACTIVOS,62,33,0.5323,1.8788,1.1338,Lumpy
AVM405,JGO. DE RUEDA LIBRE,62,23,0.371,2.6957,2.6908,Lumpy
AVM407,JGO. DE RUEDA LIBRE,62,21,0.3387,2.9524,4.2635,Lumpy
AVM418,JGO. DE RUEDA LIBRE,62,12,0.1935,5.1667,5.6612,Lumpy
AVM419,JGO. DE RUEDA LIBRE,62,10,0.1613,6.2,7.37,Lumpy
AVM432,JGO. DE RUEDA LIBRE,62,17,0.2742,3.6471,4.2899,Lumpy
AVM433,JGO. DE RUEDA LIBRE,62,33,0.5323,1.8788,2.9599,Lumpy
AVM439,JGO. RUEDA LIBRE,62,10,0.1613,6.2,6.9851,Lumpy
AVM443,JGO. DE RUEDA LIBRE,62,20,0.3226,3.1,3.2643,Lumpy
AVM453,JGO. DE RUEDA LIBRE,62,26,0.4194,2.3846,4.2655,Lumpy
AVM454,JGO. DE RUEDA LIBRE,62,23,0.371,2.6957,3.3039,Lumpy
AVM456,JGO. DE RUEDA LIBRE,62,36,0.5806,1.7222,0.874,Lumpy
AVM460,JGO. DE RUEDA LIBRE,62,21,0.3387,2.9524,5.2816,Lumpy
AVM461,JGO. DE RUEDA LIBRE,62,22,0.3548,2.8182,4.7455,Lumpy
AVM462,JGO. DE RUEDA LIBRE,62,18,0.2903,3.4444,4.8641,Lumpy
AVM463,JGO. DE RUEDA LIBRE,62,37,0.5968,1.6757,0.9924,Lumpy
AVM465,JGO.DE RUEDA LIBRE,62,24,0.3871,2.5833,3.2456,Lumpy
AVM538,JGO. DE RUEDA LIBRE,62,18,0.2903,3.4444,4.5135,Lumpy
AVM918,JGO. DE RUEDA LIBRE,62,25,0.4032,2.48,1.8857,Lumpy
AVM938,JGO. DE RUEDA LIBRE,62,14,0.2258,4.4286,4.9002,Lumpy
C3585,FILTRO AIRE,62,27,0.4355,2.2963,1.5795,Lumpy
CAV 296 KIT,FILTRO GASOLINA UNIVERSAL,62,24,0.3871,2.5833,2.1721,Lumpy
CAV296KIT,FILTRO GASOLINA UNIVERSAL,62,26,0.4194,2.3846,2.1859,Lumpy
CINTAEMBALAJE,CINTA EMBALAJE TRANSP 48MMX1004,62,32,0.5161,1.9375,1.8089,Lumpy
COR1,FILTRO GASOLINA,62,19,0.3065,3.2632,3.1376,Lumpy
COR2,FILTRO GASOLINA,62,36,0.5806,1.7222,0.8946,Lumpy
CR1391-ORI-2632,CERRADURA PUERTA DELA RH,62,32,0.5161,1.9375,1.1132,Lumpy
CR1391-ORI-2633,CERRADURA PUERTA DELA LH,62,28,0.4516,2.2143,1.6204,Lumpy
CR1921-UNI-1646,ELEVA VENTANA MANUAL DELA LH,62,8,0.129,7.75,7.4198,Lumpy
CR1921-UNI-1647,ELEVA VENTANA MANUAL DELA RH,62,23,0.371,2.6957,2.8609,Lumpy
CR1921-UNI-1648,MANIJA ELEVA VENTANA,62,23,0.371,2.6957,2.8395,Lumpy
CR1921-Z.E-2634,ELEVA VENTANA MANUAL DELA RH,62,27,0.4355,2.2963,1.9833,Lumpy
CR1921-Z.E-2635,ELEVA VENTANA MANUAL DELA LH,62,31,0.5,2.0,1.2425,Lumpy
CR1921-Z.E-2636,ELEVA VENTANA MANUAL DELA RH,62,12,0.1935,5.1667,5.9247,Lumpy
CR1921-Z.E-2637,ELEVA VENTANA MANUAL DELA LH,62,35,0.5645,1.7714,0.9343,Lumpy
CR1931-MAR-1649,EMBLEMA DELA,62,20,0.3226,3.1,3.2152,Lumpy
CR1931-MAR-1653,EMBLEMA POST,62,28,0.4516,2.2143,1.8833,Lumpy
CR1931-OEM-2627,LETRAS EMBLEMA,62,10,0.1613,6.2,9.2806,Lumpy
CR1931-OEM-2628,EMBLEMA DELA,62,25,0.4032,2.48,2.3113,Lumpy
CR2381-ROD-1631,GUARDAFANGO DELA LH,62,27,0.4355,2.2963,2.5287,Lumpy
CR2741-OEM-2626,GUARDABARROS RH DELA,62,21,0.3387,2.9524,5.5354,Lumpy
CR3611-ATQ-1658,MOLDURA PANEL INSTRUMENTOS,62,28,0.4516,2.2143,1.4482,Lumpy
CR3611-GVW-1654,MOLDURA CENTRAL,62,24,0.3871,2.5833,1.9947,Lumpy
CR5971-AUT-1618,PANEL PLUMAS,62,41,0.6613,1.5122,0.7484,Lumpy
CR5971-CEN-1635,CAPOT,62,1,0.0161,62.0,61.0,Lumpy
CR5971-CP-1639,TOPE CAPOT AJUSTABLE,62,13,0.2097,4.7692,7.336,Lumpy
CR5971-NAT-1866,GUARDAPOLVO P/CAMBIO CROMADA,62,20,0.3226,3.1,2.8042,Lumpy
CR5971-UNI-1447,LIMITADOR PUERTA,62,38,0.6129,1.6316,2.8982,Lumpy
DBDD889,JGO. PASTILLA DE FRENO,62,21,0.3387,2.9524,6.1571,Lumpy
DBF-015,MANGUERA BOMBA GASOLINA SUMERGIBLE,62,43,0.6935,1.4419,0.6266,Lumpy
DBF-016N,MANGUERA BOMBA GASOLINA SUMERGIBLE,62,8,0.129,7.75,10.6181,Lumpy
DBF-025,MANGUERA BOMBA GASOLINA SUMERGIBLE,62,10,0.1613,6.2,8.9524,Lumpy
DBF-028N,MANGUERA BOMBA GASOLINA SUMERGIBLE,62,26,0.4194,2.3846,1.7532,Lumpy
DBF-033,MANGUERA BOMBA GASOLINA SUMERGIBLE,62,32,0.5161,1.9375,4.1383,Lumpy
DBF-16N,MANGUERA BOMBA GASOLINA SUMERGIBLE,62,39,0.629,1.5897,0.775,Lumpy
DBFH05K,MANGUERA BOMBA GASOLINA SUMER,62,18,0.2903,3.4444,4.7329,Lumpy
DK026109243,TEMPLADOR BANDA DISTRIBUCION,62,33,0.5323,1.8788,1.2147,Lumpy
DK030105263C,PIÑON CIGUEÑAL,62,12,0.1935,5.1667,7.37,Lumpy
DK030145299F,POLEA TENSORA,62,8,0.129,7.75,14.8227,Lumpy
DK030145299H,POLEA TENSORA,62,17,0.2742,3.6471,8.0296,Lumpy
DK032145276,POLEA ACCESORIOS,62,16,0.2581,3.875,4.4805,Lumpy
DK032145299A,POLEA TENSORA,62,21,0.3387,2.9524,3.0631,Lumpy
DK038903315AN,POLEA TENSORA,62,16,0.2581,3.875,4.7466,Lumpy
DK045903119A,POLEA ALTERNADOR,62,20,0.3226,3.1,2.5042,Lumpy
DK06A903315D,POLEA TENSORA,62,19,0.3065,3.2632,7.1363,Lumpy
DK0K97212700,TEMPLADOR BANDA DISTRIBUCION,62,40,0.6452,1.55,0.7858,Lumpy
DK0K97212730,TEMPLADOR BANDA DISTRIBUCION,62,29,0.4677,2.1379,1.6177,Lumpy
DK1194503G00,POLEA ACCESORIOS,62,38,0.6129,1.6316,0.896,Lumpy
DK1281071C00,TEMPLADOR BANDA DISTRIBUCION,62,26,0.4194,2.3846,1.7586,Lumpy
DK1754077E00,POLEA ACCESORIOS,62,42,0.6774,1.4762,0.6243,Lumpy
DK1754077E10,POLEA TENSORA,62,25,0.4032,2.48,1.9457,Lumpy
DK2441023050,TENSOR.          HYUNDAI TUCSON 2.0,62,12,0.1935,5.1667,8.1219,Lumpy
DK2441026000,TEMPLADOR BANDA DISTRIBUCION,62,32,0.5161,1.9375,1.4626,Lumpy
DK244102X700,TEMPLADOR BANDA DISTRIBUCION,62,3,0.0484,20.6667,22.25,Lumpy
DK24506756,POLEA ACCESORIOS,62,15,0.2419,4.1333,3.9806,Lumpy
DK2481023400,TENSOR,62,26,0.4194,2.3846,5.8217,Lumpy
DK2481026000,TEMPLADOR BANDA DISTRIBUCION,62,29,0.4677,2.1379,1.2935,Lumpy
DK25180907,POLEA AIRE ACONDICIONADO,62,22,0.3548,2.8182,2.1719,Lumpy
DK377145299,POLEA TENSORA,62,22,0.3548,2.8182,2.3283,Lumpy
DK377145299B,POLEA ACCESORIOS,62,8,0.129,7.75,16.9877,Lumpy
DK7700747599,PIÑON GIGUEÑAL,62,26,0.4194,2.3846,2.1176,Lumpy
DK8200908180,TEMPLADOR BANDA DISTRIBUCION,62,11,0.1774,5.6364,13.6729,Lumpy
DK8973285120,TEMPLADOR BANDA DISTRIBUCION,62,15,0.2419,4.1333,4.125,Lumpy
DK90353176,TEMPLADOR BANDA DISTRIBUCION,62,23,0.371,2.6957,2.8999,Lumpy
DK90354858,PIÑON CIGUEÑAL,62,16,0.2581,3.875,3.5246,Lumpy
DK90411769,TEMPLADOR BANDA DISTRIBUCION,62,24,0.3871,2.5833,4.3997,Lumpy
DK90412783,TEMPLADOR BANDA DISTRIBUCION,62,26,0.4194,2.3846,3.0763,Lumpy
DK90500229,POLEA ACCESORIOS,62,35,0.5645,1.7714,3.3042,Lumpy
DK90529810,TEMPLADOR BANDA DISTRIBUCION,62,7,0.1129,8.8571,9.9287,Lumpy
DK91175578,POLEA ACCESORIOS,62,29,0.4677,2.1379,2.8616,Lumpy
DK94580139,TEMPLADOR BANDA DISTRIBUCION,62,35,0.5645,1.7714,1.0135,Lumpy
DK96103222,TEMPLADOR BANDA DISTRIBUCION,62,26,0.4194,2.3846,1.691,Lumpy
DK96184932,POLEA TENSORA,62,25,0.4032,2.48,4.7395,Lumpy
DK96349976,TEMPLADOR BANDA,62,28,0.4516,2.2143,1.9316,Lumpy
DK96350550,TEMPLADOR BANDA DISTRIBUCION,62,20,0.3226,3.1,3.4077,Lumpy
DK96352740,PIÑON GIGUEÑAL,62,23,0.371,2.6957,2.8272,Lumpy
DKOK93712730,TEMPLADOR BANDA DISTRIBUCION,62,16,0.2581,3.875,4.2623,Lumpy
DKR-002-TY,JGO MOQUETA,62,13,0.2097,4.7692,5.405,Lumpy
DKR-012-IZ,JGO MOQUETA,62,12,0.1935,5.1667,6.4627,Lumpy
DKR-014-KI,JGO MOQUETA,62,17,0.2742,3.6471,5.2237,Lumpy
DKR-016-HY,JGO MOQUETA,62,7,0.1129,8.8571,8.9463,Lumpy
DKR-024-TY,JGO MOQUETA,62,23,0.371,2.6957,2.2479,Lumpy
DKR-030-IZ,JGO MOQUETA,62,21,0.3387,2.9524,3.714,Lumpy
DKR-035-MT,JGO MOQUETA,62,40,0.6452,1.55,0.7384,Lumpy
DKR-058-NS,JGO MOQUETA,62,20,0.3226,3.1,2.7709,Lumpy
DKR-075-SK,JGO MOQUETA,62,8,0.129,7.75,8.7822,Lumpy
DKR-093-SK,JGO MOQUETA,62,9,0.1452,6.8889,9.6467,Lumpy
DKR-1-GREEN,REFRIGERANTE,62,26,0.4194,2.3846,2.3214,Lumpy
DKR-1-GREEN_L,VERDE LITRO,62,14,0.2258,4.4286,5.5374,Lumpy
DKR-1-RED,REFRIGERANTE,62,10,0.1613,6.2,9.8128,Lumpy
DKR-1-RED_L,ROJO LITRO,62,15,0.2419,4.1333,8.6793,Lumpy
DKR-1/4-GREEN,VERDE LITRO USA,62,18,0.2903,3.4444,4.5199,Lumpy
DKR-1/4-RED,ROJO LITRO USA,62,45,0.7258,1.3778,0.5684,Lumpy
DKR1068,BOMBA GASOLINA SUMERGIBLE,62,8,0.129,7.75,7.6111,Lumpy
DKR1494,BOMBA GASOLINA SUMERGIBLE,62,24,0.3871,2.5833,2.0535,Lumpy
DKR1510,BOMBA GASOLINA SUMERGIBLE,62,21,0.3387,2.9524,4.9656,Lumpy
DKR1575,BOMBA GASOLINA SUMERGIBLE,62,38,0.6129,1.6316,0.7659,Lumpy
DKR1867,BOMBA GASOLINA SUMERGIBLE,62,39,0.629,1.5897,1.7259,Lumpy
DKR1935,BOMBA GASOLINA SUMERGIBLE,62,30,0.4839,2.0667,1.2593,Lumpy
DKR2004,BOMBA GASOLINA SUMERGIBLE,62,13,0.2097,4.7692,6.1644,Lumpy
DKR2288,BOMBA GASOLINA SUMERGIBLE,62,15,0.2419,4.1333,4.2932,Lumpy
DKR2737,BOMBA GASOLINA SUMERGIBLE,62,42,0.6774,1.4762,0.5893,Lumpy
DKR3047,BOMBA GASOLINA SUMERGIBLE FORSA,62,34,0.5484,1.8235,1.0267,Lumpy
DKR3331,BOMBA GASOLINA SUMERGIBLE,62,31,0.5,2.0,2.4593,Lumpy
DKR4377,BOMBA GASOLINA SUMERGIBLE,62,16,0.2581,3.875,6.3529,Lumpy
DKR4835,BOMBA GASOLINA SUMERGIBLE,62,29,0.4677,2.1379,1.4878,Lumpy
DKR4837,BOMBA GASOLINA SUMERGIBLE,62,15,0.2419,4.1333,5.2344,Lumpy
DP27301-2B010,BOBINA ENCENDIDO,62,11,0.1774,5.6364,7.5804,Lumpy
DR04943-0K030,KIT REPARACION FRENOS,62,14,0.2258,4.4286,4.5167,Lumpy
DR04943-0k050,KIT REPARACION FRENOS,62,11,0.1774,5.6364,8.3995,Lumpy
DR0K01133251D,DISCO FRENO,62,26,0.4194,2.3846,2.1707,Lumpy
DR1742318,DISCO FRENO,62,14,0.2258,4.4286,5.3983,Lumpy
DR18060665,DISCO FRENO,62,26,0.4194,2.3846,4.1245,Lumpy
DR2110-3501070,DISCO FRENO,62,14,0.2258,4.4286,6.385,Lumpy
DR2121-3501070,DISCO FRENO,62,33,0.5323,1.8788,1.1153,Lumpy
DR30005701,DISCO FRENO,62,19,0.3065,3.2632,3.89,Lumpy
DR31293,DISCO FRENO,62,36,0.5806,1.7222,0.9569,Lumpy
DR31319,DISCO FRENO,62,20,0.3226,3.1,2.8839,Lumpy
DR3140,DISCO FRENO,62,17,0.2742,3.6471,3.9782,Lumpy
DR3172,DISCO FRENO,62,29,0.4677,2.1379,1.6171,Lumpy
DR3217,DISCO FRENO,62,10,0.1613,6.2,6.7706,Lumpy
DR3222,DISCO FRENO,62,25,0.4032,2.48,1.9728,Lumpy
DR3460,DISCO FRENO,62,13,0.2097,4.7692,8.9622,Lumpy
DR40206-EM10A,DISCO FRENO,62,32,0.5161,1.9375,2.0078,Lumpy
DR42431-02070,DISCO FRENO,62,13,0.2097,4.7692,6.381,Lumpy
DR42431-52080,DISCO FRENO,62,9,0.1452,6.8889,7.3784,Lumpy
DR43206-EM10A,DISCO FRENO,62,17,0.2742,3.6471,11.5236,Lumpy
DR43512-0K010,DISCO FRENO,62,29,0.4677,2.1379,1.3776,Lumpy
DR43512-16070,DISCO FRENO,62,33,0.5323,1.8788,3.1434,Lumpy
DR43512-47020,DISCO FRENO,62,6,0.0968,10.3333,29.3886,Lumpy
DR43512-52120,DISCO FRENO,62,45,0.7258,1.3778,0.5916,Lumpy
DR51712-02550,DISCO FRENO,62,25,0.4032,2.48,2.4593,Lumpy
DR51712-07500,DISCO FRENO,62,20,0.3226,3.1,3.2112,Lumpy
DR51712-1C100,DISCO FRENO,62,32,0.5161,1.9375,1.2257,Lumpy
DR51712-1G000,DISCO FRENO,62,13,0.2097,4.7692,9.3936,Lumpy
DR51712-2F100,DISCO FRENO,62,38,0.6129,1.6316,0.8355,Lumpy
DR51712-2Y000,DISCO FRENO,62,25,0.4032,2.48,1.9364,Lumpy
DR51712-FD200,DISCO FRENO,62,22,0.3548,2.8182,3.4941,Lumpy
DR55211-56B00,DISCO FRENO,62,29,0.4677,2.1379,1.5831,Lumpy
DR55211-65D10,DISCO FRENO,62,26,0.4194,2.3846,1.5879,Lumpy
DR55211-65J00,DISCO FRENO,62,15,0.2419,4.1333,9.0354,Lumpy
DR55311-60B30,DISCO FRENO,62,12,0.1935,5.1667,7.9164,Lumpy
DR55311-61G00,DISCO FRENO,62,8,0.129,7.75,11.2798,Lumpy
DR569000,DISCO FRENO,62,21,0.3387,2.9524,3.4351,Lumpy
DR7700716947,DISCO FRENO,62,38,0.6129,1.6316,0.86,Lumpy
DR7700780892,DISCO FRENO,62,5,0.0806,12.4,13.88,Lumpy
DR8-98006259-0,DISCO FRENO,62,7,0.1129,8.8571,15.4669,Lumpy
DR8-98006259-C,DISCO FRENO DEL VENT D-MAX 3.0 3.5 4WD 02 279,62,30,0.4839,2.0667,6.1161,Lumpy
DR8973088680,DISCO FRENO,62,30,0.4839,2.0667,8.1347,Lumpy
DR90497879,DISCO FRENO,62,23,0.371,2.6957,2.3316,Lumpy
DR9064210012,DISCO FRENO,62,29,0.4677,2.1379,4.9134,Lumpy
DR9127966,DISCO FRENO,62,15,0.2419,4.1333,5.4325,Lumpy
DR96312560,DISCO FRENO,62,29,0.4677,2.1379,4.2287,Lumpy
DR96320531,DISCO FRENO,62,30,0.4839,2.0667,2.9953,Lumpy
DR96328338,DISCO FRENO,62,33,0.5323,1.8788,1.112,Lumpy
DR96456494,KIT REPARACION FRENOS,62,27,0.4355,2.2963,3.2926,Lumpy
DR96456495,KIT REPARACION FRENOS,62,38,0.6129,1.6316,0.8986,Lumpy
DR96471275,DISCO FRENO,62,15,0.2419,4.1333,15.6974,Lumpy
DR96574633,DISCO FRENO,62,34,0.5484,1.8235,2.1773,Lumpy
DRBP6Y3325XB,DISCO FRENO,62,31,0.5,2.0,1.6074,Lumpy
DRUM5133251,DISCO FRENO,62,25,0.4032,2.48,1.9784,Lumpy
DRUR5826630,KIT REPARACION FRENOS,62,20,0.3226,3.1,2.9803,Lumpy
E115H-D208,FILTRO DE ACEITE,62,19,0.3065,3.2632,3.0659,Lumpy
ECO-0.5-LBPACK,GRASA AZUL,62,23,0.371,2.6957,2.5606,Lumpy
ECO-1-LBPACK,GRASA AZUL,62,4,0.0645,15.5,19.9112,Lumpy
ED0271-GRA-1975,PLATO BASE AMORTIGUADOR DELA,62,30,0.4839,2.0667,3.7704,Lumpy
ED0461-TRW-1560,BOMBA DIRECCION HIDRAULICA,62,18,0.2903,3.4444,3.4501,Lumpy
ED1331-OEM-1561,GUARDAPOLVO DIRECCION,62,13,0.2097,4.7692,4.6583,Lumpy
ENLA-0012,RODAMIENTO AGUJA CAJA GOL,62,28,0.4516,2.2143,2.2825,Lumpy
ENLA-1261,DEPOSITO AGUA RADIADOR AMAROK,62,6,0.0968,10.3333,13.6459,Lumpy
ENLA-1620,TAPA BATERIA GOL III,62,11,0.1774,5.6364,5.6975,Lumpy
ENLA-2493,RODAMIENTO DE AGUJAS GOL ENGRANAJE DE 1ra,62,21,0.3387,2.9524,3.3261,Lumpy
ENLA-2498,MEDIDOR ACEITE AMAROK,62,33,0.5323,1.8788,1.0419,Lumpy
ENLA-2500,GRUPO HORQUILLAS TRANSMISION AMAROK,62,30,0.4839,2.0667,1.3817,Lumpy
ENLA-2501,SINCRONIZADO TRANSMISION AMAROK,62,39,0.629,1.5897,0.8315,Lumpy
ENLA-2508,POLEA ALTERNADOR,62,33,0.5323,1.8788,1.1241,Lumpy
EP20-1002,JUEGO DE CORREAS DENTADAS,62,23,0.371,2.6957,2.7543,Lumpy
EP20-1038,JUEGO DE CORREAS DENTADAS,62,25,0.4032,2.48,2.1268,Lumpy
EP20-1041,JUEGO DE CORREAS DENTADAS,62,39,0.629,1.5897,0.8173,Lumpy
EP20-1068,JUEGO DE CORREAS DENTADAS,62,32,0.5161,1.9375,1.1185,Lumpy
EP20-1070,JUEGO DE CORREAS DENTADAS,62,28,0.4516,2.2143,1.5318,Lumpy
EP20-1160,JUEGO DE CORREAS DENTADAS,62,42,0.6774,1.4762,0.6639,Lumpy
EP20-1178,KIT DISTRIBUCION,62,33,0.5323,1.8788,1.8898,Lumpy
EP20-1215,JUEGO CORREA DENTADAS,62,31,0.5,2.0,3.8078,Lumpy
EP20-1236,JUEGO CORREA DENTADAS,62,38,0.6129,1.6316,0.829,Lumpy
EP20-1237,JUEGO DE CORREAS DENTADAS,62,27,0.4355,2.2963,4.644,Lumpy
EP20-1238,JUEGO DE CORREAS DENTADAS,62,14,0.2258,4.4286,5.5209,Lumpy
EP20-1244,JUEGO DE CORREAS DENTADAS,62,24,0.3871,2.5833,2.0963,Lumpy
EP20-1246,JUEGO DE CORREAS DENTADAS,62,33,0.5323,1.8788,1.7265,Lumpy
EP20-1251,JUEGO DE CORREAS DENTADAS,62,22,0.3548,2.8182,2.4305,Lumpy
EP20-1254,JUEGO DE CORREAS DENTADAS,62,6,0.0968,10.3333,16.3246,Lumpy
EP20-1258,KIT DISTRIBUCION,62,22,0.3548,2.8182,2.3146,Lumpy
EP20-1261,JUEGO DE CORREAS DENTADAS,62,22,0.3548,2.8182,3.7784,Lumpy
EP20-1309,KIT DISTRIBUCION,62,7,0.1129,8.8571,11.9167,Lumpy
EP20-1310,JUEGO DE CORREAS DENTADAS,62,20,0.3226,3.1,2.4631,Lumpy
EP20-1316,JUEGO DE CORREAS DENTADAS,62,14,0.2258,4.4286,5.9463,Lumpy
EP20-1325,JUEGO DE CORREAS DENTADAS,62,22,0.3548,2.8182,2.9614,Lumpy
EP20-1341,JUEGO DE CORREAS DENTADAS,62,11,0.1774,5.6364,5.8084,Lumpy
EP20-1343,JUEGO DE CORREAS DENTADAS,62,19,0.3065,3.2632,3.0664,Lumpy
EP20-1345,KIT DISTRIBUCION,62,27,0.4355,2.2963,1.6904,Lumpy
EP20-1365,JUEGO DE CORREAS DENTADAS,62,14,0.2258,4.4286,4.4177,Lumpy
EP20-1440,JUEGO DE CORREAS DENTADAS,62,30,0.4839,2.0667,2.7342,Lumpy
EP20-1442,KIT DISTRIBUCION,62,32,0.5161,1.9375,1.1826,Lumpy
EP20-1602,JUEGO DE CORREAS DENTADAS,62,21,0.3387,2.9524,2.6828,Lumpy
EP20-1603,KIT DISTRIBUCION,62,20,0.3226,3.1,4.8187,Lumpy
EP20-1611,JUEGO DE CORREAS DENTADAS,62,18,0.2903,3.4444,3.1158,Lumpy
EP20-1647,JUEGO DE CORREAS DENTADAS,62,9,0.1452,6.8889,8.5664,Lumpy
EP20-1677,KIT DISTRIBUCION,62,22,0.3548,2.8182,4.6689,Lumpy
EP20-1687,JUEGO DE CORREAS DENTADAS,62,13,0.2097,4.7692,5.1693,Lumpy
EP20-1721,JUEGO DE CORREAS DENTADAS,62,26,0.4194,2.3846,1.8158,Lumpy
EP20-1728,JUEGO DE CORREAS DENTADAS,62,30,0.4839,2.0667,1.3422,Lumpy
EP20-1749,JUEGO DE CORREAS DENTADAS,62,18,0.2903,3.4444,7.0882,Lumpy
