REFERENCIA,DESCRIPCIÓN,N_PERIODS,NON_ZERO_PERIODS,PCT_NON_ZERO,ADI,CV2,DEMAND_TYPE
037121065K,CANERIA DE AGUA 18 GOLF,62,23,0.371,2.6957,3.0645,Lumpy
037121065L,CANERIA DE AGUA GOLF VENTO,62,30,0.4839,2.0667,1.4326,Lumpy
037121121A,BRIDA TUBULADORA G V,62,23,0.371,2.6957,2.8737,Lumpy
037121133C,BRIDA S A G V 83 92 PASSAT 95,62,4,0.0645,15.5,23.7097,Lumpy
037145271E,BANDA DIRECCION HIDRAULICA SIN AIRE GOLF VENTO,62,27,0.4355,2.2963,1.8625,Lumpy
037253039D,JUNTA COLECTOR ESCAPE G V 2 0,62,6,0.0968,10.3333,12.2258,Lumpy
03L103085,RETEN ARBOL LEVAS AMAROK,62,28,0.4516,2.2143,2.283,Lumpy
03L115264A,BANDA BOMBA DE ACEITE AMAROK,62,28,0.4516,2.2143,1.5845,Lumpy
03L145100E,BOMBA VACIO SISTEMA FRENO AMAROK,62,14,0.2258,4.4286,8.5821,Lumpy
03L903137R,BANDA ALTERNADOR CRAFTER 6PK 1613,62,31,0.5,2.0,1.2827,Lumpy
04,TRANSPORTE QUITO,62,33,0.5323,1.8788,2.9747,Lumpy
048129717D,JUNTA COLECTOR ADMISION G V 1 8 ALEMAN,62,17,0.2742,3.6471,4.9725,Lumpy
056919081C,TROMPO PRESION ACEITE BAJA G VCAFE,62,28,0.4516,2.2143,1.5404,Lumpy
056919081E,TROMPO PRESION ACEITE ALTA G V BLANCO,62,18,0.2903,3.4444,7.3745,Lumpy
058109601C,VALVULA ADMISION GOLF 1 8 TURBO,62,5,0.0806,12.4,18.5644,Lumpy
058109611E,VALVULA ESCAPE GOLF IV 1 8 TURBO,62,35,0.5645,1.7714,0.9725,Lumpy
068103085A,RETEN EJE MOTOR ARBOL LEVAS CIGUENAL,62,20,0.3226,3.1,4.3623,Lumpy
068117021B,RADIADOR DE ACEITE,62,23,0.371,2.6957,2.3238,Lumpy
06A103663B,TUBO ALOJAMIENTO V ACEITE AKL AGU,62,20,0.3226,3.1,3.6792,Lumpy
06A121011H,BOMBA DE AGUA GOLFIV JETTA 20,62,21,0.3387,2.9524,2.4913,Lumpy
06A133398F,JUNTA TUBULADORA ASPIRACION,62,14,0.2258,4.4286,4.5693,Lumpy
06A198012A,JGO EMPAQUES MOTOR GOLF IV 1 8 TURBO,62,25,0.4032,2.48,1.8018,Lumpy
06A919081D,TROMPO PRESION ACEITE GOLF IV,62,5,0.0806,12.4,17.8976,Lumpy
06C103485N,TAPA DE ACEITE AMAROK,62,11,0.1774,5.6364,7.7958,Lumpy
085141165H,RULIMAN EMBRAGUE POLO 1 4,62,42,0.6774,1.4762,0.7745,Lumpy
0K74R-23-603,FILTRO AIRE,62,6,0.0968,10.3333,12.5022,Lumpy
1109101-K08-A1,FILTRO AIRE,62,23,0.371,2.6957,2.4164,Lumpy
1109101-k80,FILTRO AIRE,62,12,0.1935,5.1667,6.4344,Lumpy
13780-58B00,FILTRO AIRE,62,28,0.4516,2.2143,2.587,Lumpy
13780-62B00,FILTRO AIRE,62,17,0.2742,3.6471,3.061,Lumpy
13780-65J00,FILTRO AIRE,62,20,0.3226,3.1,4.1209,Lumpy
13780-77E00,FILTRO AIRE,62,25,0.4032,2.48,1.8843,Lumpy
13780-78K00,FILTRO AIRE,62,22,0.3548,2.8182,7.6091,Lumpy
1500A098,FILTRO AIRE,62,28,0.4516,2.2143,1.6986,Lumpy
16546-1HK0J,FILTRO AIRE,62,3,0.0484,20.6667,25.1322,Lumpy
16546-86G00,FILTRO AIRE,62,26,0.4194,2.3846,3.9028,Lumpy
16546-ED000,FILTRO AIRE,62,16,0.2581,3.875,4.6282,Lumpy
16546-F4101,FILTRO  AIRE,62,20,0.3226,3.1,5.0384,Lumpy
17720-3640,FILTRO AIRE,62,21,0.3387,2.9524,2.7758,Lumpy
17801-2460,FILTRO AIRE,62,38,0.6129,1.6316,0.7939,Lumpy
17801-3380,FILTRO AIRE,62,26,0.4194,2.3846,1.628,Lumpy
17801-3390,FILTRO AIRE,62,18,0.2903,3.4444,3.6306,Lumpy
17801-38051,FILTRO AIRE,62,41,0.6613,1.5122,0.8253,Lumpy
17801-78020,FILTRO AIRE,62,19,0.3065,3.2632,3.2301,Lumpy
17801-78110,FILTRO AIRE,62,25,0.4032,2.48,2.4923,Lumpy
191512131B,TOPE AMORTIGUADOR POST G V,62,25,0.4032,2.48,1.8849,Lumpy
191711208A,CASQUILLO VARILLA MANDO,62,15,0.2419,4.1333,5.11,Lumpy
191953227A,RELAY DIRECCIONALES,62,18,0.2903,3.4444,3.2198,Lumpy
1C0945511A,INTERRUPTOR LUZ FRENO GLFIV POLO JETTA,62,27,0.4355,2.2963,2.5304,Lumpy
1H0253147B,CAUCHO SOPORTE ESCAPE G V,62,2,0.0323,31.0,30.0,Lumpy
1H0422371D,DEPOSITO ACEITE HIDRAULICO G V,62,6,0.0968,10.3333,10.625,Lumpy
1H0422884,RECEPTOR GOMA DIRECCION G V,62,31,0.5,2.0,2.5961,Lumpy
1H0698151F,JGO PASTILLAS G V 95 96 FRASLEE PD328,62,20,0.3226,3.1,4.2672,Lumpy
1H0711595,VARILLA SELECT MEC P C FRONTAL G V HUESO,62,28,0.4516,2.2143,1.996,Lumpy
1H0819373,MANGUERA ENTRADA AGUA A A G V 2 0,62,22,0.3548,2.8182,2.2967,Lumpy
1H0819373C,MANGUERA RETORNO AGUA A A G V,62,16,0.2581,3.875,5.584,Lumpy
1H0959481B,TERMOSWICHT G V PC ALEMAN,62,32,0.5161,1.9375,1.225,Lumpy
1H0959565,CONMUTADOR ESPEJO ELECTRICO G V,62,27,0.4355,2.2963,1.7889,Lumpy
