SKU,DESCRIPCION,ABC_CLASS,XYZ_CLASS,ABC_XYZ,CURRENT_STOCK,LAST_MONTH_SALES,F1,F2,F3,FORECAST_3M,AVG_FORECAST_MONTH,MONTHS_OF_COVER,SAFETY_STOCK,REORDER_POINT,RECOMMENDED_PURCHASE,ALERT_STATUS,ACTION,MODEL_USED,TOTAL_SALES,MEAN_MONTHLY_SALES,STD_MONTHLY_SALES,CV,SAFETY_FACTOR,PRIORITY_SCORE
TRUD1737,JGO. PASTILLA DE FRENO,A,Z,AZ,669.0,0.0,23.89,23.89,23.89,71.67,23.89,28.0,34.4,58.29,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1481,23.8871,35.8942,1.5027,1.44,0.0
SP-1149,JGO. PASTILLA DE FRENO,A,Z,AZ,561.0,0.0,23.69,23.69,23.69,71.07,23.69,23.68,34.11,57.8,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1469,23.6935,52.4419,2.2133,1.44,0.0
FL93277517,MODULO GASOLINA SUMERGIBLE,A,Y,AY,52.0,0.0,23.19,23.19,23.19,69.57,23.19,2.24,27.83,51.02,22.21,OK,Sin accion inmediata,auto_arima,1438,23.1935,16.734,0.7215,1.2,11.99
SL90448854,TUBO CALECFACCION,A,Z,AZ,119.0,5.0,23.08,23.08,23.08,69.24,23.08,5.16,33.24,56.32,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1431,23.0806,42.5946,1.8455,1.44,0.0
FL170408B000,MODULO GASOLINA SUMERGIBLE,A,Z,AZ,512.0,0.0,22.39,22.39,22.39,67.17,22.39,22.87,32.24,54.63,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1388,22.3871,55.0048,2.457,1.44,0.0
ALHP-2466,TUERCA DE EXPANSION,A,Z,AZ,100.0,0.0,29.73,22.35,22.35,74.43,24.81,4.03,35.73,60.54,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1385,22.3387,37.1049,1.661,1.44,0.0
WT04E919081A,TROMPO ACEITE,A,Z,AZ,166.0,25.0,21.27,21.27,21.27,63.81,21.27,7.8,30.63,51.9,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1319,21.2742,39.7756,1.8697,1.44,0.0
1H0422884,RECEPTOR GOMA DIRECCION G V,A,Z,AZ,772.0,0.0,21.26,21.26,21.26,63.78,21.26,36.31,30.61,51.87,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1318,21.2581,34.2519,1.6112,1.44,0.0
FL30230002,MODULO GASOLINA SUMERGIBLE,A,Z,AZ,166.0,9.0,16.69,18.28,20.01,54.98,18.33,9.06,26.4,44.73,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1309,21.1129,38.0323,1.8014,1.44,0.0
PR18213-65J00,SENSOR OXIGENO GRAND VITARA 2.0,A,Y,AY,117.0,31.0,17.64,20.63,20.63,58.9,19.63,5.96,23.56,43.19,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1283,20.6935,17.4768,0.8446,1.2,0.0
