feature,mean_abs_shap
ABC_CLASS,2.3674355491107537
STOCK,0.7932436073965561
roll_mean_6,0.5199068879218517
CV_FULL,0.3650678567134073
roll_std_6,0.22330514468156185
roll_std_3,0.06145997084444592
lag_1,0.04970419764343528
nonzero_last_6,0.04594935644608485
roll_mean_3,0.02646077069806689
lag_3,0.026112112941377063
month,0.025356948060813234
year,0.018372529889731634
lag_2,0.017155414413289775
XYZ_CLASS,0.0002530556414911545
